구분번호,발생일시,주야,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령대,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령대,피해운전자 상해정도
2018072309,2018년 5월,야간,부산광역시 금정구,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,단일로 - 기타,개인형이동수단(PM),남,21-30세,상해없음,보행자,여,65세 이상,경상
2019048511,2019년 3월,주간,부산광역시 금정구,경상사고,0,0,1,0,차대차 - 충돌,기타,건조,맑음,교차로 - 교차로안,개인형이동수단(PM),남,21-30세,경상,승용,여,61-64세,상해없음
2019186490,2019년 10월,주간,부산광역시 금정구,부상신고사고,0,0,0,1,차대차 - 충돌,기타,건조,맑음,교차로 - 교차로안,개인형이동수단(PM),여,21-30세,부상신고,승용,남,51-60세,상해없음
2019211283,2019년 12월,야간,부산광역시 금정구,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,개인형이동수단(PM),남,21-30세,상해없음,보행자,여,61-64세,경상
2019220148,2019년 12월,주간,부산광역시 금정구,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,개인형이동수단(PM),남,41-50세,상해없음,보행자,여,65세 이상,경상
2020179338,2020년 11월,야간,부산광역시 금정구,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,개인형이동수단(PM),여,20세 이하,부상신고,승용,남,21-30세,상해없음
2020195566,2020년 12월,야간,부산광역시 금정구,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,개인형이동수단(PM),남,20세 이하,상해없음,보행자,남,31-40세,부상신고
2021033383,2021년 3월,야간,부산광역시 금정구,경상사고,0,0,1,0,차대사람 - 보도통행중,기타,건조,맑음,기타 - 기타,개인형이동수단(PM),남,20세 이하,상해없음,보행자,여,21-30세,경상
2021048114,2021년 4월,주간,부산광역시 금정구,경상사고,0,0,1,0,차대사람 - 보도통행중,안전운전불이행,젖음/습기,비,단일로 - 지하차도(도로)내,개인형이동수단(PM),남,20세 이하,상해없음,보행자,남,51-60세,경상
2021084694,2021년 6월,주간,부산광역시 금정구,경상사고,0,0,2,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,개인형이동수단(PM),여,20세 이하,경상,보행자,여,13-20세,경상
2021114073,2021년 7월,야간,부산광역시 금정구,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,개인형이동수단(PM),여,21-30세,상해없음,보행자,남,65세 이상,경상
2021202995,2021년 12월,야간,부산광역시 금정구,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,개인형이동수단(PM),남,21-30세,상해없음,보행자,여,13-20세,부상신고
2022004511,2022년 1월,주간,부산광역시 금정구,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,개인형이동수단(PM),남,65세 이상,기타불명,보행자,여,21-30세,경상
2022020846,2022년 2월,야간,부산광역시 금정구,경상사고,0,0,1,0,차대사람 - 보도통행중,기타,건조,맑음,단일로 - 기타,개인형이동수단(PM),남,21-30세,상해없음,보행자,남,21-30세,경상
2022082624,2022년 6월,주간,부산광역시 금정구,중상사고,0,1,1,0,차대차 - 충돌,기타,건조,맑음,교차로 - 교차로안,개인형이동수단(PM),남,21-30세,경상,개인형이동수단(PM),남,21-30세,중상
2022083201,2022년 6월,야간,부산광역시 금정구,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로안,개인형이동수단(PM),남,20세 이하,상해없음,보행자,여,21-30세,경상
2022084097,2022년 6월,주간,부산광역시 금정구,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,개인형이동수단(PM),남,21-30세,상해없음,보행자,남,21-30세,중상
2022106036,2022년 7월,야간,부산광역시 금정구,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,개인형이동수단(PM),남,20세 이하,상해없음,보행자,여,31-40세,경상
2022120841,2022년 8월,야간,부산광역시 금정구,중상사고,0,1,0,0,차대차 - 충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,개인형이동수단(PM),남,21-30세,기타불명,자전거,남,51-60세,중상
2022134240,2022년 9월,야간,부산광역시 금정구,경상사고,0,0,1,0,차대사람 - 보도통행중,기타,건조,맑음,교차로 - 교차로부근,개인형이동수단(PM),남,21-30세,상해없음,보행자,여,21-30세,경상
2022141405,2022년 9월,주간,부산광역시 금정구,경상사고,0,0,1,0,차대사람 - 보도통행중,기타,건조,맑음,단일로 - 기타,개인형이동수단(PM),남,20세 이하,상해없음,보행자,남,41-50세,경상
2023026563,2023년 2월,주간,부산광역시 금정구,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 지하차도(도로)내,개인형이동수단(PM),남,31-40세,상해없음,보행자,남,21-30세,경상
2023035428,2023년 3월,주간,부산광역시 금정구,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,교차로 - 교차로안,개인형이동수단(PM),여,20세 이하,상해없음,보행자,여,51-60세,경상
2023054924,2023년 4월,주간,부산광역시 금정구,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,기타,맑음,교차로 - 교차로횡단보도내,개인형이동수단(PM),남,20세 이하,상해없음,보행자,여,13-20세,경상
2023081790,2023년 6월,주간,부산광역시 금정구,경상사고,0,0,1,0,차대사람 - 보도통행중,기타,건조,맑음,단일로 - 기타,개인형이동수단(PM),남,20세 이하,상해없음,보행자,여,41-50세,경상
2023088522,2023년 6월,주간,부산광역시 금정구,부상신고사고,0,0,0,1,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,개인형이동수단(PM),여,20세 이하,기타불명,보행자,여,65세 이상,부상신고
2023101110,2023년 7월,주간,부산광역시 금정구,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,개인형이동수단(PM),여,20세 이하,상해없음,보행자,여,21-30세,경상
2023134179,2023년 9월,야간,부산광역시 금정구,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,기타,교차로 - 교차로횡단보도내,개인형이동수단(PM),남,21-30세,상해없음,보행자,여,21-30세,경상
2023135533,2023년 9월,주간,부산광역시 금정구,부상신고사고,0,0,0,1,차대차 - 충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,개인형이동수단(PM),남,20세 이하,상해없음,승용,여,31-40세,부상신고
2023142130,2023년 9월,야간,부산광역시 금정구,중상사고,0,1,0,1,차량단독 - 충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,개인형이동수단(PM),남,20세 이하,중상,,,,
2023143199,2023년 9월,야간,부산광역시 금정구,경상사고,0,0,1,0,차대사람 - 보도통행중,안전운전불이행,건조,맑음,기타 - 기타,개인형이동수단(PM),남,20세 이하,상해없음,보행자,남,51-60세,경상
2023147663,2023년 10월,야간,부산광역시 금정구,부상신고사고,0,0,0,1,차대차 - 충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,개인형이동수단(PM),남,20세 이하,부상신고,승용,남,51-60세,상해없음
2023160182,2023년 10월,주간,부산광역시 금정구,중상사고,0,1,0,0,차대차 - 충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로부근,개인형이동수단(PM),남,20세 이하,기타불명,자전거,남,65세 이상,중상
2023161103,2023년 10월,야간,부산광역시 금정구,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로부근,개인형이동수단(PM),남,20세 이하,상해없음,보행자,여,65세 이상,중상
2024002076,2024년 1월,야간,부산광역시 금정구,중상사고,0,1,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,개인형이동수단(PM),여,20세 이하,경상,보행자,여,41-50세,중상
2024055758,2024년 4월,주간,부산광역시 금정구,중상사고,0,1,0,0,차대차 - 충돌,교차로운행방법위반,젖음/습기,비,교차로 - 교차로안,개인형이동수단(PM),여,21-30세,중상,승용,남,31-40세,상해없음
2024061529,2024년 5월,야간,부산광역시 금정구,경상사고,0,0,1,0,차량단독 - 기타,안전운전불이행,건조,맑음,기타 - 기타,개인형이동수단(PM),남,20세 이하,경상,,,,
2024072686,2024년 5월,야간,부산광역시 금정구,경상사고,0,0,1,0,차대차 - 충돌,기타,건조,맑음,교차로 - 교차로안,개인형이동수단(PM),남,31-40세,경상,승용,남,51-60세,상해없음
2024093447,2024년 6월,야간,부산광역시 금정구,중상사고,0,1,0,0,차대차 - 충돌,안전운전불이행,건조,맑음,단일로 - 기타,개인형이동수단(PM),여,21-30세,중상,승합,남,41-50세,상해없음
2024160936,2024년 10월,주간,부산광역시 금정구,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,개인형이동수단(PM),남,65세 이상,상해없음,보행자,여,65세 이상,중상
2025051339,2025년 4월,야간,부산광역시 금정구,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,기타 - 기타,개인형이동수단(PM),여,41-50세,상해없음,보행자,여,21-30세,경상
2025053257,2025년 4월,주간,부산광역시 금정구,부상신고사고,0,0,0,1,차대차 - 충돌,안전운전불이행,건조,맑음,단일로 - 기타,개인형이동수단(PM),남,65세 이상,부상신고,화물,남,51-60세,상해없음
2025071334,2025년 5월,야간,부산광역시 금정구,경상사고,0,0,1,0,차량단독 - 기타,기타,건조,맑음,단일로 - 기타,개인형이동수단(PM),남,21-30세,경상,,,,
2025074141,2025년 6월,야간,부산광역시 금정구,부상신고사고,0,0,0,1,차량단독 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,개인형이동수단(PM),남,21-30세,부상신고,,,,
2025076472,2025년 6월,주간,부산광역시 금정구,중상사고,0,1,0,0,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로안,개인형이동수단(PM),남,20세 이하,상해없음,이륜,남,21-30세,중상
2025101496,2025년 7월,야간,부산광역시 금정구,부상신고사고,0,0,0,1,차대사람 - 보도통행중,안전운전불이행,건조,기타,기타 - 기타,개인형이동수단(PM),기타불명,기타불명,기타불명,보행자,여,21-30세,부상신고
2025134086,2025년 9월,주간,부산광역시 금정구,경상사고,0,0,3,0,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로안,개인형이동수단(PM),여,31-40세,경상,승용,여,21-30세,경상
2025134147,2025년 9월,주간,부산광역시 금정구,중상사고,0,1,0,0,차대사람 - 보도통행중,안전운전불이행,건조,맑음,기타 - 기타,개인형이동수단(PM),남,20세 이하,상해없음,보행자,여,41-50세,중상
